ItemID,forecast_mean,forecast_std,actual_mean,weeks,avg_daily_demand_ml,safety_stock_ml,rop_ml,ItemName
BCH-3-08-00272,2852.7081485789754,811.1801938673128,3147.2727272727275,22,407.5297355112822,1338.447319881066,4191.155468460041,بوشارتي ملح 
BCH-3-08-00273,4878.62505465372,856.3363781672559,4866.090909090909,22,696.9464363791029,1412.9550239759722,6291.580078629692,بوشارتي ملح باربكيو
BCH-3-08-00274,7576.437931204174,1345.5686073516495,7905.0,22,1082.3482758863106,2220.1882021302213,9796.626133334395,بوشارتي هوت باربكيو
BCH-3-08-00275,6136.865970922055,820.4483375522021,5920.727272727273,22,876.6951387031506,1353.7397569611335,7490.605727883189,بوشارتي هوت باربكيو نيو
BCH-3-08-00276,76.7365309786852,98.65158345735013,85.13636363636364,22,10.9623615683836,162.7751127046277,239.5116436833129,مقرمش كاتشب كلاسيك
BCH-3-08-00284,1735.9124597529321,863.8344992712043,1954.6363636363637,22,247.98749425041888,1425.326923797487,3161.239383550419,بوشارتي مارشميللو سبايسي
BCH-3-08-00310,213.41785811943726,29.193009627888152,248.66666666666666,15,30.488265445633893,48.16846588601545,261.5863240054527,مقرمش جبنة كوول
BCH-3-08-00311,692.662768605959,127.97164168392894,691.4090909090909,22,98.95182408656557,211.15320877848274,903.8159773844417,مقرمش شوكولاتة باربكيو
BCH-3-08-00312,919.6607726927651,221.21662783528936,997.3636363636364,22,131.38011038468073,365.00743592822744,1284.6682086209926,مقرمش شوكولاتة سادة
BCH-3-08-00313,918.3370844604858,133.8928120740787,951.0,22,131.1910120657837,220.92313992222986,1139.2602243827157,مقرمش شيبس باربكيو
BCH-3-08-00334,596.7493009949701,1059.2112660024447,631.7,20,85.24990014213859,1747.6985889040338,2344.4478898990037,بوشارتي كرانشي كلاسيك
BCH-3-08-00335,132.61964359080486,388.43639208169077,107.78571428571429,14,18.94566337011498,640.9200469347898,773.5396905255946,بوشارتي مارشميللو حار
CHB-3-07-00077,13038.088675742569,4015.8572821551643,12982.863636363636,22,1862.5840965346526,6626.164515556021,19664.25319129859,شوكو بوم كرانشي هوت
